shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
100429_DEC16,34.08347364,-118.3311332,180001
100429_DEC16,34.0834741,-118.3309681,180002
100429_DEC16,34.08347987,-118.3298618,180003
100429_DEC16,34.08348236,-118.328947,180004
100429_DEC16,34.08348236,-118.328947,190001
100429_DEC16,34.08348281,-118.3287819,190002
100429_DEC16,34.08348572,-118.3277119,190003
100429_DEC16,34.08349145,-118.3266121,190004
100429_DEC16,34.08349259,-118.3261894,190005
100429_DEC16,34.08349259,-118.3261894,200001
100429_DEC16,34.08349304,-118.3260243,200002
100429_DEC16,34.08350166,-118.3248618,200003
100429_DEC16,34.08349458,-118.3244292,200004
100429_DEC16,34.08349619,-118.3238281,200005
100429_DEC16,34.08349619,-118.3238281,210001
100429_DEC16,34.08349664,-118.323663,210002
100429_DEC16,34.08350196,-118.322702,210003
100429_DEC16,34.08350042,-118.3222462,210004
100429_DEC16,34.0835046,-118.3217112,210005
100429_DEC16,34.08350732,-118.3206874,210006
100429_DEC16,34.08350716,-118.3197099,210007
100429_DEC16,34.08350716,-118.3197099,220001
100429_DEC16,34.0835076,-118.3195448,220002
100429_DEC16,34.08350694,-118.3187555,220003
100429_DEC16,34.08351149,-118.3180718,220004
100429_DEC16,34.08351149,-118.3180718,230001
100429_DEC16,34.08351192,-118.3179067,230002
100429_DEC16,34.08351172,-118.3158889,230003
100429_DEC16,34.08351172,-118.3158889,240001
100429_DEC16,34.08351215,-118.3157237,240002
100429_DEC16,34.083515,-118.3146306,240003
100429_DEC16,34.08351748,-118.3136762,240004
100429_DEC16,34.08351748,-118.3136762,250001
100429_DEC16,34.08351791,-118.3135111,250002
100429_DEC16,34.08351771,-118.3125302,250003
100429_DEC16,34.08351794,-118.312441,250004
100429_DEC16,34.08352074,-118.3113545,250005
100429_DEC16,34.08352119,-118.3111795,250006
100429_DEC16,34.08352354,-118.310268,250007
100429_DEC16,34.08352374,-118.3101887,250008
100429_DEC16,34.08352494,-118.3097231,250009
100429_DEC16,34.08352603,-118.3092971,250010
100429_DEC16,34.08352603,-118.3092971,260001
100429_DEC16,34.08352645,-118.3091319,260002
100429_DEC16,34.08352669,-118.3079628,260003
100429_DEC16,34.08352993,-118.307768,260004
100429_DEC16,34.08353491,-118.3068928,260005
100429_DEC16,34.08353632,-118.306338,260006
100429_DEC16,34.08354059,-118.305737,260007
100429_DEC16,34.08354498,-118.3050864,260008
100429_DEC16,34.08354856,-118.3047562,260009
100429_DEC16,34.08354856,-118.3047562,270001
100429_DEC16,34.08354898,-118.304591,270002
100429_DEC16,34.08355066,-118.3039239,270003
100429_DEC16,34.08355192,-118.3034219,270004
100429_DEC16,34.08355632,-118.3027647,270005
100429_DEC16,34.08356176,-118.3016881,270006
100429_DEC16,34.08356197,-118.3016023,270007
100429_DEC16,34.08356719,-118.3006115,270008
100429_DEC16,34.08356719,-118.3006115,280001
100429_DEC16,34.0835676,-118.3004464,280002
100429_DEC16,34.0835706,-118.2992377,280003
100429_DEC16,34.08357106,-118.2990527,280004
100429_DEC16,34.08357165,-118.298815,280005
100429_DEC16,34.08357251,-118.2984649,280006
100429_DEC16,34.08357407,-118.2978341,280007
100429_DEC16,34.0835742,-118.2977813,280008
100429_DEC16,34.08357477,-118.2975501,280009
100429_DEC16,34.08357477,-118.2975501,290001
100429_DEC16,34.08357888,-118.2969953,290002
100429_DEC16,34.08357972,-118.2966518,290003
100429_DEC16,34.083584,-118.2960277,290004
100429_DEC16,34.08358813,-118.2954663,290005
100429_DEC16,34.08358813,-118.2954663,300001
100429_DEC16,34.08358853,-118.2953011,300002
100429_DEC16,34.08358938,-118.2949511,300003
100429_DEC16,34.08359426,-118.2940792,300004
100429_DEC16,34.08359199,-118.293881,300005
100429_DEC16,34.08359993,-118.2928738,300006
100429_DEC16,34.08359737,-118.2927978,300007
100429_DEC16,34.08360228,-118.2919029,300008
100429_DEC16,34.08360236,-118.2918731,300009
100429_DEC16,34.08360236,-118.2918731,310001
100429_DEC16,34.08360276,-118.291708,310002
100429_DEC16,34.08361112,-118.2905158,310003
100429_DEC16,34.08360565,-118.2893632,310004
100429_DEC16,34.08360565,-118.2893632,320001
100429_DEC16,34.08360604,-118.2891981,320002
100429_DEC16,34.08360339,-118.2880059,320003
100429_DEC16,34.08360031,-118.286992,320004
100429_DEC16,34.08360031,-118.286992,330001
100429_DEC16,34.0836007,-118.2868269,330002
100429_DEC16,34.0817789,-118.2868107,330003
100429_DEC16,34.08177694,-118.2864804,330004
100429_DEC16,34.08177694,-118.2864804,340001
100429_DEC16,34.08177621,-118.2856284,340002
100429_DEC16,34.08177311,-118.2846112,340003
100429_DEC16,34.08177311,-118.2846112,350001
100429_DEC16,34.0817735,-118.2844461,350002
100429_DEC16,34.08083651,-118.284433,350003
100429_DEC16,34.08083651,-118.284433,360001
100429_DEC16,34.08069911,-118.2844326,360002
100429_DEC16,34.07963846,-118.2844223,360003
100429_DEC16,34.07942412,-118.2844216,360004
100429_DEC16,34.07886906,-118.2844197,360005
100429_DEC16,34.07886906,-118.2844197,370001
100429_DEC16,34.07873167,-118.2844193,370002
100429_DEC16,34.07790457,-118.2844131,370003
100429_DEC16,34.07773971,-118.2844093,370004
100429_DEC16,34.07770398,-118.2844092,370005
100429_DEC16,34.07717914,-118.2844074,370006
100429_DEC16,34.07671751,-118.2844025,370007
100429_DEC16,34.07668216,-118.2842439,370008
100429_DEC16,34.07667124,-118.2842141,370009
100429_DEC16,34.07661103,-118.2841115,370010
100429_DEC16,34.07651535,-118.2838999,370011
100429_DEC16,34.07643609,-118.283718,370012
100429_DEC16,34.07643609,-118.283718,380001
100429_DEC16,34.07635409,-118.2835328,380002
100429_DEC16,34.07629947,-118.2833906,380003
100429_DEC16,34.07613263,-118.2830565,380004
100429_DEC16,34.07568428,-118.2820709,380005
100429_DEC16,34.07555306,-118.2817832,380006
100429_DEC16,34.07555306,-118.2817832,390001
100429_DEC16,34.07542729,-118.281512,390002
100429_DEC16,34.0752797,-118.2811681,390003
100429_DEC16,34.07493803,-118.2803876,390004
100429_DEC16,34.07493803,-118.2803876,400001
100429_DEC16,34.07487517,-118.2802421,400002
100429_DEC16,34.07447886,-118.2793227,400003
100429_DEC16,34.07408525,-118.2784199,400004
100429_DEC16,34.07375723,-118.2776693,400005
100429_DEC16,34.07375723,-118.2776693,410001
100429_DEC16,34.07369436,-118.2775238,410002
100429_DEC16,34.07330349,-118.276621,410003
100429_DEC16,34.07290168,-118.2756918,410004
100429_DEC16,34.07272127,-118.2752718,410005
100429_DEC16,34.07255453,-118.2748882,410006
100429_DEC16,34.07253266,-118.2748386,410007
100429_DEC16,34.07248892,-118.2747361,410008
100429_DEC16,34.07245074,-118.2746105,410009
100429_DEC16,34.07245074,-118.2746105,420001
100429_DEC16,34.07240984,-118.2744717,420002
100429_DEC16,34.07227063,-118.2740584,420003
100429_DEC16,34.0722188,-118.2738932,420004
100429_DEC16,34.07220516,-118.2738502,420005
100429_DEC16,34.07209326,-118.273513,420006
100429_DEC16,34.07194314,-118.2730668,420007
100429_DEC16,34.07194314,-118.2730668,430001
100429_DEC16,34.07189127,-118.2729147,430002
100429_DEC16,34.07184213,-118.2727725,430003
100429_DEC16,34.0716566,-118.2721842,430004
100429_DEC16,34.0715474,-118.2718668,430005
100429_DEC16,34.0714109,-118.2714701,430006
100429_DEC16,34.07136175,-118.2713313,430007
100429_DEC16,34.071198,-118.2708321,430008
100429_DEC16,34.071198,-118.2708321,440001
100429_DEC16,34.07114888,-118.2706768,440002
100429_DEC16,34.07111342,-118.2705611,440003
100429_DEC16,34.07099057,-118.2702041,440004
100429_DEC16,34.07094689,-118.2700752,440005
100429_DEC16,34.07069577,-118.2693182,440006
100429_DEC16,34.07050747,-118.2687331,440007
100429_DEC16,34.0703437,-118.2682406,440008
100429_DEC16,34.0703437,-118.2682406,450001
100429_DEC16,34.07027273,-118.2680257,450002
100429_DEC16,34.07018809,-118.2677778,450003
100429_DEC16,34.06995339,-118.2670506,450004
100429_DEC16,34.06977051,-118.266492,450005
100429_DEC16,34.06948932,-118.2656557,450006
100429_DEC16,34.06948932,-118.2656557,460001
100429_DEC16,34.06943745,-118.2655036,460002
100429_DEC16,34.06912083,-118.2645319,460003
100429_DEC16,34.06880968,-118.2635667,460004
100429_DEC16,34.06874688,-118.2633849,460005
100429_DEC16,34.06874688,-118.2633849,470001
100429_DEC16,34.068695,-118.2632329,470002
100429_DEC16,34.0686022,-118.262942,470003
100429_DEC16,34.06852856,-118.2626908,470004
100429_DEC16,34.06845232,-118.262367,470005
100429_DEC16,34.06840336,-118.2621357,470006
100429_DEC16,34.06831102,-118.2616368,470007
100429_DEC16,34.06815057,-118.2608604,470008
100429_DEC16,34.06808531,-118.2605399,470009
100429_DEC16,34.06808531,-118.2605399,480001
100429_DEC16,34.06775625,-118.2589473,480002
100429_DEC16,34.06751152,-118.2577414,480003
100429_DEC16,34.06730479,-118.2567502,480004
100429_DEC16,34.06730479,-118.2567502,490001
100429_DEC16,34.06727215,-118.2565916,490002
100429_DEC16,34.06707629,-118.2556565,490003
100429_DEC16,34.06704099,-118.255455,490004
100429_DEC16,34.06695376,-118.2551246,490005
100429_DEC16,34.06691009,-118.2549825,490006
100429_DEC16,34.06686362,-118.2548667,490007
100429_DEC16,34.06681433,-118.2547873,490008
100429_DEC16,34.06668281,-118.2546086,490009
100429_DEC16,34.06661978,-118.2545292,490010
100429_DEC16,34.06654028,-118.2544398,490011
100429_DEC16,34.06648269,-118.2543835,490012
100429_DEC16,34.06648269,-118.2543835,500001
100429_DEC16,34.06635929,-118.254261,500002
100429_DEC16,34.06615084,-118.2540754,500003
100429_DEC16,34.06590679,-118.2538337,500004
100429_DEC16,34.06550654,-118.2533867,500005
100429_DEC16,34.06527623,-118.2531417,500006
100429_DEC16,34.06498284,-118.2528436,500007
100429_DEC16,34.06481006,-118.2526813,500008
100429_DEC16,34.06474699,-118.2526184,500009
100429_DEC16,34.06459341,-118.2524759,500010
100429_DEC16,34.06459341,-118.2524759,510001
100429_DEC16,34.06436302,-118.2522672,510002
100429_DEC16,34.06407227,-118.2520154,510003
100429_DEC16,34.06386928,-118.2518497,510004
100429_DEC16,34.06367175,-118.2516972,510005
100429_DEC16,34.0631889,-118.251326,510006
100429_DEC16,34.06295845,-118.251147,510007
100429_DEC16,34.06295845,-118.251147,520001
100429_DEC16,34.06173489,-118.2501859,520002
100429_DEC16,34.06157578,-118.2500599,520003
100429_DEC16,34.06147426,-118.2499837,520004
100429_DEC16,34.06130966,-118.2498544,520005
100429_DEC16,34.06122736,-118.2497881,520006
100429_DEC16,34.06082956,-118.2494799,520007
100429_DEC16,34.0606759,-118.2493705,520008
100429_DEC16,34.06061828,-118.2493274,520009
100429_DEC16,34.06039891,-118.2491088,520010
100429_DEC16,34.06005074,-118.2487149,520011
100429_DEC16,34.06005074,-118.2487149,530001
100429_DEC16,34.0599493,-118.2486024,530002
100429_DEC16,34.05983694,-118.2484534,530003
100429_DEC16,34.05976843,-118.2483641,530004
100429_DEC16,34.05972731,-118.2483178,530005
100429_DEC16,34.05922568,-118.2477154,530006
100429_DEC16,34.0590338,-118.247487,530007
100429_DEC16,34.0589872,-118.2474307,530008
100429_DEC16,34.0589406,-118.2473778,530009
100429_DEC16,34.05816208,-118.2464609,530010
100429_DEC16,34.05720538,-118.245329,530011
100429_DEC16,34.05720538,-118.245329,540001
100429_DEC16,34.05663519,-118.2446505,540002
100429_DEC16,34.05649813,-118.2444884,540003
100429_DEC16,34.05641548,-118.2445938,540004
100429_DEC16,34.05629982,-118.2447189,540005
100429_DEC16,34.05629982,-118.2447189,550001
100429_DEC16,34.05626401,-118.2447584,550002
100429_DEC16,34.05596938,-118.245058,550003
100429_DEC16,34.05563898,-118.2453806,550004
100429_DEC16,34.05434778,-118.2465851,550005
100429_DEC16,34.05375036,-118.2471412,550006
